,Team,Op Team,score,Opscore,RaidPoints,OpRaid,TacklePoints,OpTackle,Allout,OpAllOut,ExtraPoints,OpExtra,win,season
0,JAIPUR PINK PANTHERS,U MUMBA,28,44,25,28,1,12,2,4,0,0,1,1
1,BENGALURU BULLS,DABANG DELHI K.C.,42,28,23,15,13,13,6,0,0,0,0,1
2,BENGALURU BULLS,PUNERI PALTAN,39,34,20,20,14,11,4,2,1,1,0,1
3,BENGAL WARRIORS,U MUMBA,24,35,17,24,7,9,0,2,0,0,1,1
4,DABANG DELHI K.C.,PUNERI PALTAN,35,31,23,22,10,7,2,2,0,0,0,1
5,U MUMBA,TELUGU TITANS,34,35,23,24,9,7,2,4,0,0,1,1
6,U MUMBA,PATNA PIRATES,35,32,22,23,9,7,4,2,0,0,0,1
7,BENGALURU BULLS,BENGAL WARRIORS,46,30,25,19,15,11,6,0,0,0,0,1
8,JAIPUR PINK PANTHERS,TELUGU TITANS,46,31,29,24,12,4,4,2,1,1,0,1
9,DABANG DELHI K.C.,BENGAL WARRIORS,39,40,26,25,9,11,4,4,0,0,1,1
10,PATNA PIRATES,TELUGU TITANS,34,35,27,27,4,6,2,2,1,0,1,1
11,BENGAL WARRIORS,PUNERI PALTAN,37,34,26,22,9,8,2,4,0,0,0,1
12,JAIPUR PINK PANTHERS,PATNA PIRATES,35,18,24,14,7,4,4,0,0,0,0,1
13,BENGAL WARRIORS,U MUMBA,28,38,22,26,6,8,0,4,0,0,1,1
14,DABANG DELHI K.C.,TELUGU TITANS,34,36,21,22,11,9,2,2,0,3,1,1
15,BENGALURU BULLS,PUNERI PALTAN,30,31,21,18,7,11,2,2,0,0,1,1
16,U MUMBA,PUNERI PALTAN,41,25,26,18,9,5,6,2,0,0,0,1
17,DABANG DELHI K.C.,PATNA PIRATES,30,33,26,20,4,9,0,4,0,0,1,1
18,BENGALURU BULLS,U MUMBA,32,43,22,22,10,13,0,6,0,2,1,1
19,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,29,36,17,18,10,14,2,4,0,0,1,1
20,DABANG DELHI K.C.,BENGAL WARRIORS,45,35,26,26,13,5,6,4,0,0,0,1
21,PATNA PIRATES,PUNERI PALTAN,34,26,25,22,4,4,0,0,5,0,0,1
22,BENGAL WARRIORS,TELUGU TITANS,39,34,29,26,8,6,2,2,0,0,0,1
23,U MUMBA,PATNA PIRATES,37,37,21,22,14,13,2,2,0,0,draw,1
24,JAIPUR PINK PANTHERS,TELUGU TITANS,48,29,30,20,11,6,4,2,3,1,0,1
25,DABANG DELHI K.C.,PATNA PIRATES,28,30,23,21,3,7,2,2,0,0,1,1
26,JAIPUR PINK PANTHERS,BENGAL WARRIORS,36,23,19,15,13,7,4,0,0,1,0,1
27,BENGALURU BULLS,PATNA PIRATES,33,33,22,25,7,6,4,2,0,0,draw,1
28,PUNERI PALTAN,TELUGU TITANS,34,41,25,29,7,8,2,4,0,0,1,1
29,BENGALURU BULLS,U MUMBA,32,27,20,18,8,9,2,0,2,0,0,1
30,BENGAL WARRIORS,PUNERI PALTAN,29,38,19,19,7,14,2,4,1,1,1,1
31,BENGALURU BULLS,DABANG DELHI K.C.,26,25,15,12,9,11,2,2,0,0,0,1
32,JAIPUR PINK PANTHERS,PUNERI PALTAN,48,22,26,16,16,6,6,0,0,0,0,1
33,DABANG DELHI K.C.,U MUMBA,34,22,19,18,11,4,4,0,0,0,0,1
34,PATNA PIRATES,PUNERI PALTAN,34,29,23,20,7,6,4,2,0,1,0,1
35,BENGALURU BULLS,TELUGU TITANS,28,28,19,18,9,8,0,2,0,0,draw,1
36,JAIPUR PINK PANTHERS,BENGAL WARRIORS,41,31,25,20,12,8,2,2,2,1,0,1
37,JAIPUR PINK PANTHERS,PATNA PIRATES,28,51,22,25,6,17,0,8,0,1,1,1
38,U MUMBA,TELUGU TITANS,42,42,33,33,6,3,2,6,1,0,draw,1
39,BENGAL WARRIORS,PATNA PIRATES,29,27,18,19,9,8,2,0,0,0,0,1
40,PUNERI PALTAN,TELUGU TITANS,23,58,22,35,1,14,0,8,0,1,1,1
41,DABANG DELHI K.C.,TELUGU TITANS,26,42,20,26,6,10,0,6,0,0,1,1
42,BENGALURU BULLS,JAIPUR PINK PANTHERS,29,35,15,21,12,10,2,4,0,0,1,1
43,BENGAL WARRIORS,PATNA PIRATES,28,36,20,20,8,11,0,4,0,1,1,1
44,JAIPUR PINK PANTHERS,U MUMBA,30,31,18,20,10,9,2,2,0,0,1,1
45,BENGAL WARRIORS,TELUGU TITANS,34,33,16,20,14,8,4,4,0,1,0,1
46,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,30,39,19,22,9,10,2,6,0,1,1,1
47,PATNA PIRATES,TELUGU TITANS,26,28,16,19,8,5,2,4,0,0,1,1
48,JAIPUR PINK PANTHERS,PUNERI PALTAN,30,21,15,8,11,11,4,2,0,0,0,1
49,BENGALURU BULLS,BENGAL WARRIORS,33,23,14,11,14,12,4,0,1,0,0,1
50,DABANG DELHI K.C.,U MUMBA,29,37,14,19,11,14,4,4,0,0,1,1
51,DABANG DELHI K.C.,PUNERI PALTAN,44,22,24,18,13,3,6,0,1,1,0,1
52,BENGALURU BULLS,PATNA PIRATES,28,33,20,18,6,12,2,2,0,1,1,1
53,BENGALURU BULLS,TELUGU TITANS,26,25,12,13,12,10,2,2,0,0,0,1
54,U MUMBA,PUNERI PALTAN,36,35,21,19,13,13,2,2,0,1,0,1
55,BENGALURU BULLS,JAIPUR PINK PANTHERS,30,29,22,17,6,10,2,2,0,0,0,1
56,JAIPUR PINK PANTHERS,PATNA PIRATES,36,17,16,10,14,7,6,0,0,0,0,1
57,BENGALURU BULLS,U MUMBA,22,26,11,9,9,15,2,2,0,0,1,1
58,BENGALURU BULLS,PATNA PIRATES,22,29,10,8,12,18,0,2,0,1,1,1
59,JAIPUR PINK PANTHERS,U MUMBA,34,22,17,17,13,4,4,0,0,1,0,1
60,U MUMBA,JAIPUR PINK PANTHERS,29,28,10,7,16,15,0,2,3,4,0,2
61,BENGALURU BULLS,BENGAL WARRIORS,33,25,16,9,10,11,4,2,3,3,0,2
62,TELUGU TITANS,DABANG DELHI K.C.,36,27,21,16,10,9,4,0,1,2,0,2
63,U MUMBA,BENGALURU BULLS,36,23,21,14,11,7,4,2,0,0,0,2
64,PUNERI PALTAN,TELUGU TITANS,24,45,14,24,7,14,0,6,3,1,1,2
65,U MUMBA,PATNA PIRATES,25,20,16,14,7,5,2,0,0,1,0,2
66,U MUMBA,PUNERI PALTAN,28,21,17,15,9,3,2,2,0,1,0,2
67,BENGAL WARRIORS,JAIPUR PINK PANTHERS,28,26,12,15,13,6,2,2,1,3,0,2
68,BENGALURU BULLS,PATNA PIRATES,31,26,13,16,12,8,4,2,2,0,0,2
69,BENGAL WARRIORS,TELUGU TITANS,30,32,20,21,7,8,2,2,1,1,1,2
70,DABANG DELHI K.C.,PUNERI PALTAN,38,37,24,25,7,4,4,4,3,4,0,2
71,BENGAL WARRIORS,U MUMBA,25,29,8,13,15,12,2,2,0,2,1,2
72,BENGALURU BULLS,PUNERI PALTAN,31,26,18,15,7,7,2,2,4,2,0,2
73,BENGAL WARRIORS,DABANG DELHI K.C.,21,32,8,12,11,13,0,4,2,3,1,2
74,JAIPUR PINK PANTHERS,PATNA PIRATES,23,29,15,14,7,11,0,2,1,2,1,2
75,TELUGU TITANS,U MUMBA,26,27,13,14,11,11,2,2,0,0,1,2
76,DABANG DELHI K.C.,BENGALURU BULLS,18,33,10,14,7,14,0,4,1,1,1,2
77,JAIPUR PINK PANTHERS,TELUGU TITANS,22,33,16,18,4,11,0,4,2,0,1,2
78,JAIPUR PINK PANTHERS,BENGALURU BULLS,36,23,16,9,15,8,4,2,1,4,0,2
79,PUNERI PALTAN,BENGAL WARRIORS,33,29,14,16,11,7,4,2,4,4,0,2
80,JAIPUR PINK PANTHERS,DABANG DELHI K.C.,27,35,14,13,9,17,0,4,4,1,1,2
81,PATNA PIRATES,TELUGU TITANS,22,34,10,19,12,11,0,4,0,0,1,2
82,TELUGU TITANS,BENGALURU BULLS,21,35,13,13,6,14,0,4,2,4,1,2
83,PATNA PIRATES,DABANG DELHI K.C.,39,22,17,15,15,5,4,0,3,2,0,2
84,DABANG DELHI K.C.,U MUMBA,22,27,9,12,13,11,0,2,0,2,1,2
85,PATNA PIRATES,PUNERI PALTAN,32,28,18,17,11,8,2,2,1,1,0,2
86,PUNERI PALTAN,JAIPUR PINK PANTHERS,29,35,20,20,7,11,0,2,2,2,1,2
87,PATNA PIRATES,BENGAL WARRIORS,20,20,9,10,10,7,0,0,1,3,draw,2
88,TELUGU TITANS,JAIPUR PINK PANTHERS,39,39,26,26,11,6,2,4,0,3,draw,2
89,U MUMBA,DABANG DELHI K.C.,29,25,14,11,12,11,2,2,1,1,0,2
90,TELUGU TITANS,BENGAL WARRIORS,44,28,22,21,16,4,4,0,2,3,0,2
91,BENGAL WARRIORS,BENGALURU BULLS,22,33,10,18,10,10,0,4,2,1,1,2
92,TELUGU TITANS,PATNA PIRATES,54,32,29,21,15,6,8,2,2,3,0,2
93,JAIPUR PINK PANTHERS,U MUMBA,35,25,12,10,16,14,2,0,5,1,0,2
94,TELUGU TITANS,PUNERI PALTAN,29,29,18,16,9,10,2,2,0,1,draw,2
95,DABANG DELHI K.C.,BENGAL WARRIORS,17,20,7,8,9,12,0,0,1,0,1,2
96,PATNA PIRATES,BENGALURU BULLS,30,28,11,16,16,5,2,2,1,5,0,2
97,U MUMBA,BENGAL WARRIORS,31,17,16,9,8,5,4,2,3,1,0,2
98,DABANG DELHI K.C.,PATNA PIRATES,45,26,23,16,15,7,6,0,1,3,0,2
99,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,21,51,12,28,8,12,0,10,1,1,1,2
100,JAIPUR PINK PANTHERS,PUNERI PALTAN,31,18,15,11,12,6,4,0,0,1,0,2
101,DABANG DELHI K.C.,TELUGU TITANS,45,45,34,35,7,9,4,0,0,1,draw,2
102,BENGALURU BULLS,U MUMBA,29,36,16,12,10,19,0,4,3,1,1,2
103,BENGAL WARRIORS,PUNERI PALTAN,31,28,14,11,10,12,2,0,5,5,0,2
104,BENGALURU BULLS,JAIPUR PINK PANTHERS,25,27,12,11,7,13,2,2,4,1,1,2
105,BENGAL WARRIORS,PATNA PIRATES,32,34,20,21,9,10,2,2,1,1,1,2
106,BENGALURU BULLS,DABANG DELHI K.C.,40,21,20,15,14,6,6,0,0,0,0,2
107,PATNA PIRATES,U MUMBA,27,32,13,15,11,12,2,4,1,1,1,2
108,BENGALURU BULLS,TELUGU TITANS,43,29,18,18,15,9,6,2,4,0,0,2
109,PUNERI PALTAN,DABANG DELHI K.C.,33,28,18,16,11,9,4,2,0,1,0,2
110,JAIPUR PINK PANTHERS,BENGAL WARRIORS,38,39,25,19,4,16,2,4,7,0,1,2
111,PUNERI PALTAN,U MUMBA,34,39,18,18,11,16,2,4,3,1,1,2
112,U MUMBA,TELUGU TITANS,25,46,19,27,6,12,0,6,0,1,1,2
113,PUNERI PALTAN,PATNA PIRATES,21,38,9,14,10,13,0,6,2,5,1,2
114,PATNA PIRATES,JAIPUR PINK PANTHERS,26,24,10,12,13,12,2,0,1,0,0,2
115,PUNERI PALTAN,BENGALURU BULLS,30,31,20,16,8,9,2,2,0,4,1,2
116,TELUGU TITANS,BENGALURU BULLS,38,39,21,20,15,13,2,4,0,2,1,2
117,U MUMBA,PATNA PIRATES,35,18,13,9,18,8,4,0,0,1,0,2
118,PATNA PIRATES,TELUGU TITANS,26,34,15,19,10,7,0,4,1,4,1,2
119,U MUMBA,BENGALURU BULLS,36,30,17,18,14,10,4,2,1,0,0,2
120,TELUGU TITANS,U MUMBA,25,27,16,15,6,7,2,2,1,3,1,3
121,DABANG DELHI K.C.,BENGALURU BULLS,29,35,19,18,5,11,2,4,3,2,1,3
122,JAIPUR PINK PANTHERS,U MUMBA,27,18,10,9,12,9,2,0,3,0,0,3
123,TELUGU TITANS,PUNERI PALTAN,27,26,13,11,10,11,0,2,4,2,0,3
124,PATNA PIRATES,JAIPUR PINK PANTHERS,29,28,14,16,13,9,2,0,0,3,0,3
125,TELUGU TITANS,DABANG DELHI K.C.,45,34,26,27,14,4,4,2,1,1,0,3
126,TELUGU TITANS,BENGAL WARRIORS,17,25,9,11,7,10,0,2,1,2,1,3
127,BENGALURU BULLS,PATNA PIRATES,24,33,17,18,5,11,0,2,2,2,1,3
128,DABANG DELHI K.C.,PUNERI PALTAN,20,38,13,20,6,13,0,4,1,1,1,3
129,BENGALURU BULLS,BENGAL WARRIORS,24,34,12,18,9,10,2,4,1,2,1,3
130,DABANG DELHI K.C.,U MUMBA,17,30,7,13,9,11,0,4,1,2,1,3
131,BENGALURU BULLS,JAIPUR PINK PANTHERS,36,26,16,18,13,4,6,2,1,2,0,3
132,U MUMBA,PATNA PIRATES,26,40,16,18,7,14,0,4,3,4,1,3
133,BENGALURU BULLS,TELUGU TITANS,26,35,16,16,6,13,0,2,4,4,1,3
134,BENGAL WARRIORS,PUNERI PALTAN,33,28,18,14,9,9,4,2,2,3,0,3
135,JAIPUR PINK PANTHERS,DABANG DELHI K.C.,39,34,22,20,8,11,4,2,5,1,0,3
136,PATNA PIRATES,TELUGU TITANS,29,25,16,20,9,4,2,0,2,1,0,3
137,BENGAL WARRIORS,DABANG DELHI K.C.,34,17,16,10,9,6,4,0,5,1,0,3
138,BENGAL WARRIORS,PATNA PIRATES,31,36,18,23,11,9,0,4,2,0,1,3
139,U MUMBA,BENGALURU BULLS,29,28,13,13,12,9,2,4,2,2,0,3
140,BENGAL WARRIORS,JAIPUR PINK PANTHERS,34,20,17,12,10,5,4,0,3,3,0,3
141,PUNERI PALTAN,PATNA PIRATES,30,30,16,17,10,9,2,2,2,2,draw,3
142,PATNA PIRATES,DABANG DELHI K.C.,47,34,25,25,12,5,6,2,4,2,0,3
143,PUNERI PALTAN,JAIPUR PINK PANTHERS,32,32,21,21,8,7,2,2,1,2,draw,3
144,JAIPUR PINK PANTHERS,TELUGU TITANS,25,27,13,14,11,10,0,2,1,1,1,3
145,PUNERI PALTAN,U MUMBA,27,29,14,15,8,10,2,2,3,2,1,3
146,U MUMBA,BENGAL WARRIORS,32,21,15,16,10,4,4,0,3,1,0,3
147,PUNERI PALTAN,BENGALURU BULLS,29,27,17,17,10,6,2,2,0,2,0,3
148,PATNA PIRATES,BENGAL WARRIORS,32,27,17,15,10,8,2,2,3,2,0,3
149,TELUGU TITANS,JAIPUR PINK PANTHERS,26,35,15,14,6,14,2,4,3,3,1,3
150,PATNA PIRATES,BENGALURU BULLS,36,32,24,21,9,5,2,4,1,2,0,3
151,BENGALURU BULLS,DABANG DELHI K.C.,21,35,11,15,7,14,0,4,3,2,1,3
152,PATNA PIRATES,PUNERI PALTAN,28,28,15,14,10,11,2,2,1,1,draw,3
153,BENGAL WARRIORS,TELUGU TITANS,32,28,15,15,11,10,4,0,2,3,0,3
154,PATNA PIRATES,U MUMBA,28,34,16,15,8,13,2,4,2,2,1,3
155,JAIPUR PINK PANTHERS,BENGALURU BULLS,30,21,15,13,9,7,4,0,2,1,0,3
156,PUNERI PALTAN,DABANG DELHI K.C.,32,22,13,9,15,10,4,0,0,3,0,3
157,TELUGU TITANS,BENGALURU BULLS,40,22,18,18,14,3,4,0,4,1,0,3
158,JAIPUR PINK PANTHERS,PUNERI PALTAN,18,33,13,10,3,17,0,4,2,2,1,3
159,JAIPUR PINK PANTHERS,BENGAL WARRIORS,18,34,5,15,10,14,0,4,3,1,1,3
160,BENGAL WARRIORS,U MUMBA,17,30,5,12,10,12,0,4,2,2,1,3
161,JAIPUR PINK PANTHERS,PATNA PIRATES,24,47,13,23,7,14,2,8,2,2,1,3
162,DABANG DELHI K.C.,TELUGU TITANS,36,44,24,28,9,10,2,6,1,0,1,3
163,BENGALURU BULLS,U MUMBA,18,39,10,18,5,14,0,6,3,1,1,3
164,DABANG DELHI K.C.,PATNA PIRATES,34,67,25,34,7,20,0,10,2,3,1,3
165,PUNERI PALTAN,TELUGU TITANS,41,24,15,18,20,5,4,0,2,1,0,3
166,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,21,21,8,10,11,11,2,0,0,0,draw,3
167,BENGALURU BULLS,PUNERI PALTAN,27,44,17,25,7,10,2,6,1,3,1,3
168,DABANG DELHI K.C.,BENGAL WARRIORS,31,37,22,28,5,6,2,2,2,1,1,3
169,U MUMBA,JAIPUR PINK PANTHERS,35,21,18,11,10,7,6,2,1,1,0,3
170,TELUGU TITANS,PATNA PIRATES,42,41,29,30,5,7,4,4,4,0,0,3
171,U MUMBA,PUNERI PALTAN,30,27,19,11,9,14,2,2,0,0,0,3
172,BENGAL WARRIORS,BENGALURU BULLS,26,22,15,10,11,8,0,0,0,4,0,3
173,U MUMBA,TELUGU TITANS,38,22,20,17,10,3,6,0,2,2,0,3
174,PUNERI PALTAN,BENGAL WARRIORS,43,19,24,11,13,7,6,0,0,1,0,3
175,U MUMBA,DABANG DELHI K.C.,36,20,21,9,10,9,4,0,1,2,0,3
176,PATNA PIRATES,PUNERI PALTAN,40,21,18,11,15,8,6,2,1,0,0,3
177,U MUMBA,BENGAL WARRIORS,41,29,20,18,14,9,6,2,1,0,0,3
178,BENGAL WARRIORS,PUNERI PALTAN,27,31,14,15,11,10,2,4,0,2,1,3
179,U MUMBA,PATNA PIRATES,28,31,14,16,11,12,2,2,1,1,1,3
180,PUNERI PALTAN,TELUGU TITANS,12,25,8,9,2,3,0,10,2,3,1,4
181,U MUMBA,JAIPUR PINK PANTHERS,36,34,17,19,8,7,4,4,7,4,0,4
182,BENGALURU BULLS,BENGAL WARRIORS,24,23,11,12,9,7,2,2,2,2,0,4
183,PUNERI PALTAN,U MUMBA,41,19,22,14,10,4,6,0,3,1,0,4
184,BENGAL WARRIORS,DABANG DELHI K.C.,31,23,14,13,10,8,4,0,3,2,0,4
185,PUNERI PALTAN,PATNA PIRATES,24,30,17,16,7,10,0,4,0,0,1,4
186,PUNERI PALTAN,DABANG DELHI K.C.,27,27,18,14,7,10,2,2,0,1,draw,4
187,JAIPUR PINK PANTHERS,TELUGU TITANS,28,24,11,12,10,9,2,0,5,3,0,4
188,U MUMBA,PATNA PIRATES,34,36,19,21,11,10,2,4,2,1,1,4
189,JAIPUR PINK PANTHERS,BENGALURU BULLS,28,28,18,13,7,9,2,4,1,2,draw,4
190,U MUMBA,DABANG DELHI K.C.,27,25,14,13,10,10,2,2,1,0,0,4
191,JAIPUR PINK PANTHERS,BENGAL WARRIORS,36,33,24,21,9,8,2,2,1,2,0,4
192,DABANG DELHI K.C.,BENGALURU BULLS,32,24,11,14,16,9,4,0,1,1,0,4
193,JAIPUR PINK PANTHERS,PUNERI PALTAN,28,33,22,16,6,13,0,4,0,0,1,4
194,TELUGU TITANS,PATNA PIRATES,33,35,19,23,9,9,4,2,1,1,1,4
195,BENGAL WARRIORS,U MUMBA,18,26,8,11,6,13,0,2,4,0,1,4
196,BENGALURU BULLS,PUNERI PALTAN,29,27,14,13,14,10,0,2,1,2,0,4
197,TELUGU TITANS,BENGAL WARRIORS,35,18,18,9,13,6,4,0,0,3,0,4
198,TELUGU TITANS,BENGALURU BULLS,28,30,20,18,4,8,2,2,2,2,1,4
199,DABANG DELHI K.C.,JAIPUR PINK PANTHERS,26,51,21,27,4,14,0,8,1,2,1,4
200,TELUGU TITANS,U MUMBA,35,30,19,22,11,6,4,2,1,0,0,4
201,PATNA PIRATES,BENGALURU BULLS,31,25,18,15,10,9,2,0,1,1,0,4
202,BENGALURU BULLS,U MUMBA,23,24,13,14,8,7,2,2,0,1,1,4
203,PATNA PIRATES,BENGAL WARRIORS,35,21,17,13,15,8,2,0,1,0,0,4
204,BENGAL WARRIORS,PUNERI PALTAN,31,38,16,20,9,10,2,4,4,4,1,4
205,PATNA PIRATES,DABANG DELHI K.C.,15,33,9,11,6,13,0,4,0,5,1,4
206,DABANG DELHI K.C.,TELUGU TITANS,23,28,10,12,11,11,0,2,2,3,1,4
207,PATNA PIRATES,JAIPUR PINK PANTHERS,21,26,9,8,11,17,0,0,1,1,1,4
208,BENGALURU BULLS,TELUGU TITANS,24,32,17,14,6,13,0,4,1,1,1,4
209,PUNERI PALTAN,BENGAL WARRIORS,34,34,21,12,7,18,2,2,4,2,draw,4
210,BENGALURU BULLS,JAIPUR PINK PANTHERS,22,24,13,12,6,9,2,2,1,1,1,4
211,JAIPUR PINK PANTHERS,U MUMBA,23,29,14,16,6,10,0,2,3,1,1,4
212,BENGALURU BULLS,PATNA PIRATES,23,38,11,14,11,17,0,6,1,1,1,4
213,TELUGU TITANS,PUNERI PALTAN,32,29,15,16,13,8,2,2,2,3,0,4
214,BENGALURU BULLS,DABANG DELHI K.C.,20,40,17,21,3,10,0,6,0,3,1,4
215,BENGAL WARRIORS,JAIPUR PINK PANTHERS,32,25,19,18,11,5,2,0,0,2,0,4
216,PATNA PIRATES,U MUMBA,34,24,13,14,16,9,4,0,1,1,0,4
217,PUNERI PALTAN,JAIPUR PINK PANTHERS,27,33,19,18,6,8,0,4,2,3,1,4
218,BENGAL WARRIORS,PATNA PIRATES,27,33,16,17,9,11,0,2,2,3,1,4
219,BENGAL WARRIORS,TELUGU TITANS,34,34,19,22,10,8,2,2,3,2,draw,4
